Complexity,Loss,Equation
1,0.99901736,"1.3317169"
3,0.74055684,"1.8072941 - r"
4,0.58286303,"0.64371413 / sqrt(r)"
5,0.55944014,"0.7111687 / (r + 0.20081156)"
6,0.544053,"0.58033395 - (log(r) / 1.3892169)"
7,0.39571336,"sqrt(exp(v * -0.6936078) / r)"
8,0.38135195,"0.69290763 - (log(r) / (v + 0.6194))"
9,0.3530324,"(0.9970514 - log(r)) / exp(v * 0.32573208)"
10,0.3480211,"(0.79357356 - log(r)) / ((v + 1.7369014) / 2.111711)"
11,0.34274006,"(0.97849727 - log(r + -0.011887678)) / exp(v * 0.35345477)"
12,0.3425568,"(0.98327833 - log(r + -0.013073516)) / sqrt(exp(v * 0.71648467))"
14,0.3411784,"square((square(r) + (log(r) - 4.0324755)) / ((v + 4.421333) / 1.3261058))"
15,0.33380204,"square((((log(r) - 3.6119688) + square(square(r))) / (v + 4.4177337)) / 0.70882946)"
16,0.32894677,"square((3.632307 - log(r)) / ((v + 4.61098) / (square(square(square(r))) + -1.4582007)))"
17,0.3246567,"square(((1.9282846 - log(r)) / (v + 4.001766)) / (square(square(r) - 0.39160877) + 0.4271666))"
18,0.31892908,"square(((log(r) - 3.0170696) / (v + 4.4911237)) / (square(0.2284116 - square(square(r))) + 0.5814593))"
19,0.3172087,"square(((log(r) - 2.6218357) / (v + 4.4049087)) / (square(0.30076417 - (r * square(r))) + 0.51132023))"
20,0.3171717,"square(((log(r) - 2.737437) / (v + 4.410254)) / (square(0.300591 - square(-0.076417595 - square(r))) + 0.52773726))"
22,0.31468132,"square(((2.8498573 - log(r)) / (v + (square(((logms + 3.354536) * square(square(r))) - 0.8570765) + 3.7716599))) / -0.61493653)"
24,0.3134495,"square(((2.4223197 - log(r)) / ((v + 3.2637165) + square((square(square(r)) * (logms + 3.6017485)) - 0.8891819))) / -0.63998055) + 0.15835552"
