Complexity,Loss,Equation
1,0.9276691,"1.2892579"
3,0.6651191,"1.7721226 - r"
4,0.48805085,"0.68048525 / sqrt(r)"
6,0.4259416,"sqrt((0.29929534 / r) / v)"
7,0.2827163,"sqrt(exp(v * -0.6357057) / r)"
8,0.27280656,"1.8230239 / ((v + 1.5221701) * sqrt(r))"
9,0.27187288,"(exp(v / -2.4872975) / sqrt(r)) + 0.17658512"
10,0.25907618,"(8.272533 / (sqrt(r * 35.79945) + v)) - 0.47747433"
11,0.24981314,"sqrt((((1.2344906 / r) / exp(v)) + 0.89882016) - r)"
12,0.24682337,"sqrt(((1.1901858 / r) / exp(v)) + (0.84168077 - square(r)))"
13,0.2363913,"sqrt(((1.2523075 / r) / exp(v)) + 0.7468782) - square(square(r))"
14,0.23156793,"sqrt(((1.2932094 / r) / exp(v)) + 0.49853334) - square(square(square(r)))"
16,0.23102129,"sqrt(((1.2845414 / r) / exp(v)) + 0.53841335) - square(square(square(r - -0.014127404)))"
17,0.22712399,"sqrt(((1.2642548 / r) / exp(v)) + 0.88184816) - square(square(r) - (logms * -0.11214227))"
18,0.21963838,"sqrt((1.1174234 / r) / exp(v)) + (0.40539697 - square((0.46288604 - r) - (logms * 0.2695339)))"
19,0.21494612,"(sqrt((1.0689168 / r) / exp(v)) - square(log(1.4794497 - r) - (logms * 0.23960374))) + 0.43248188"
21,0.21031764,"(5.7062745 / ((sqrt(r * 21.755884) + (((r * logms) + -0.21551412) * logms)) + v)) - square(square(square(r)))"
23,0.20793137,"(5.6308737 / ((((r * logms) + -0.24803607) * logms) + ((sqrt(r * 17.376486) + 0.17094041) + v))) - square(square(square(r)))"
24,0.20024441,"(5.8410373 / (sqrt(r * 23.089357) + (v + (logms * (((logms + v) * r) - sqrt(r)))))) - square(square(square(r)))"
