Complexity,Loss,Equation
1,5.651498,"4.7972684"
3,4.8519063,"5.280407 - r"
4,3.2322247,"exp(2.023553 - r)"
5,3.1485567,"4.148533 / (r + 0.4709477)"
6,2.744868,"exp(2.263846 - r) - v"
7,2.6984787,"(6.846507 / (r + 0.68978983)) - v"
8,2.5883877,"(exp(2.3582535 - r) - v) - logms"
9,2.4645522,"(8.928957 - v) + (r * (-5.0314965 - logms))"
10,2.309749,"((sqrt(r) * (-6.5290637 - logms)) + 10.894079) - v"
12,2.3022263,"((11.782472 - v) + ((-7.1857157 - logms) * sqrt(r))) * 0.9128558"
13,2.275667,"(sqrt(r) * (-5.5158954 - exp(logms * 0.5821018))) + (10.918957 - v)"
14,2.2662973,"((sqrt(r) * (-10.229555 - (logms * v))) + (15.96072 - v)) * 0.65216994"
15,2.2499838,"(((sqrt(r) * (-8.198021 - (logms * sqrt(v)))) + 13.131352) - v) * 0.80883604"
16,2.2406123,"((((v * (exp(logms) + exp(r))) * -0.116848566) + 2.4653854) - log(r)) / 0.57677114"
17,2.1655424,"((((exp(logms) * -0.18908785) + -0.4415011) * v) + (6.519427 - log(r))) - (r * 2.920187)"
18,2.154553,"(((v * ((exp(logms) + 2.3567274) * -0.12597252)) + (3.4132266 - log(r))) - square(r)) / 0.6721909"
19,2.1381874,"(((exp(logms) + 2.3614454) * (v * -0.118600026)) + ((3.0415964 - log(r)) - square(square(r)))) / 0.6326937"
20,2.1259074,"((4.604713 - (log(r) + square(r))) / 0.79999644) + (((r + v) * (exp(logms) + 3.760663)) * -0.15035073)"
21,2.1112492,"((((exp(logms) + 3.733785) * ((r + v) * -0.11324048)) + 4.1505523) - (square(square(r)) + log(r))) / 0.7517116"
23,2.10363,"((3.8914814 - (log(r) + square(square(r)))) + (((v + (r - 0.33303472)) * -0.13768746) * (exp(logms) + 2.5535476))) / 0.7530703"
25,2.1025765,"((((exp(logms) + 2.5775623) * -0.13409558) * ((r + v) - 0.33045828)) + (3.757316 - (log(r) + (r * square(square(r)))))) / 0.7363669"
