Complexity,Loss,Equation
1,2.6927834,"3.8350258"
3,2.0746937,"4.2317057 - r"
4,0.93990934,"square(2.3541281 - r)"
5,0.63689464,"sqrt(log(r) * -14.052396)"
6,0.19717471,"(7.0977373 / exp(r)) - v"
7,0.081694275,"(3.7240877 / (r + 0.4404977)) - v"
8,0.075803,"(sqrt(r) * -6.9766283) - (v - 8.990544)"
9,0.07191162,"(square(sqrt(r) - 4.064658) - 7.242456) - v"
10,0.06166253,"((sqrt(r) * -7.026481) - sqrt(exp(v))) + 9.802427"
12,0.057147738,"(10.1618395 - sqrt(exp(v))) + (sqrt(r) * (r - 8.111647))"
13,0.055107847,"(((sqrt(r) * -7.046131) + 12.107625) - sqrt(exp(v))) - log(logMstel)"
14,0.052552912,"9.809539 + ((((logMstel * -0.26033986) + -4.4577804) * sqrt(r)) - sqrt(exp(v)))"
15,0.049909748,"((((exp(logMstel) * -1.199701e-5) + -6.7567153) * sqrt(r)) - sqrt(exp(v))) + 9.813523"
16,0.047972716,"((sqrt(r) * ((r - 5.533609) + (logMstel * -0.2612805))) + 10.168946) - sqrt(exp(v))"
17,0.04783158,"((square(v + 0.86954916) / -4.376942) + 6.950518) + ((r * -2.712887) - log(r * logMstel))"
18,0.046222914,"((r * -2.7257094) + (9.258377 + (square(-0.8849008 - v) / -4.3952875))) - log(r * square(logMstel))"
19,0.044879433,"(((logMstel * -0.17625657) + ((sqrt(v) * v) * -0.6032707)) + (6.210337 - log(r))) - (r * 2.718668)"
20,0.043788236,"(logMstel + (((sqrt(v) * v) * -0.5990607) - log(r))) + ((square(logMstel) * -0.05551452) - (r * 2.6828253))"
