Complexity,Loss,Equation
1,0.26935667,"1.4336389"
3,0.118220545,"1.8195298 - r"
4,0.082747236,"exp(0.7345034 - r)"
5,0.055078596,"log(2.2380576 / sqrt(r))"
6,0.05506649,"0.80094635 - (log(r) / 1.9851092)"
7,0.023964422,"log(sqrt((6.076355 - v) / r))"
8,0.016102104,"log((3.2858686 - sqrt(v)) / sqrt(r))"
9,0.01312333,"log((2.8432105 - (v * 0.46654898)) / sqrt(r))"
11,0.0097695775,"log((6.042619 - v) / (logMstel * sqrt(r))) - -1.5459595"
13,0.0087726405,"log((6.0196157 - v) / (sqrt(r) * (logMstel + r))) - -1.5888562"
14,0.007463661,"sqrt(log(square(((v * -0.2754885) + (11.505703 / logMstel)) / r) + 1.108993))"
16,0.0073783016,"sqrt(log(square(((11.896091 / logMstel) + (v * -0.29733875)) / r) + sqrt(sqrt(v))))"
17,0.007213895,"sqrt(log(square(((v * -0.2862491) + (11.774939 / logMstel)) / r) + sqrt(sqrt(sqrt(v)))))"
18,0.006849086,"sqrt(log((v * 0.48137403) + square(((v * -0.42373553) + (16.960901 / logMstel)) / r))) - 0.1827926"
19,0.0068258625,"sqrt(log((sqrt(v) * 0.7580993) + square(((v * -0.37453568) + (15.132124 / logMstel)) / r))) - 0.12841095"
20,0.0066041485,"sqrt(log((0.49534595 * v) + square(((16.964092 / logMstel) + (v * -0.4278681)) / (r - 0.0027355603)))) + -0.19014241"
