Complexity,Loss,Equation
1,1.2572005,"2.7103128"
3,0.863906,"3.1040642 - r"
4,0.3483572,"1.5035348 - log(r)"
5,0.32397208,"sqrt(log(r) / -0.14574388)"
6,0.23139466,"(2.5554385 - log(r)) - v"
7,0.15507266,"2.44653 - (log(r) + sqrt(v))"
8,0.12745313,"(2.127482 - log(r)) + (v * -0.5931194)"
9,0.11713932,"((-5.7538886 - v) * sqrt(sqrt(r))) + 7.8489456"
10,0.08844319,"((sqrt(r) * -4.680961) + 6.130055) - (v * 0.6178192)"
11,0.08188656,"((sqrt(r) * -4.704784) + 7.0358596) - exp(v * 0.36833858)"
12,0.07852936,"(sqrt(sqrt(r)) * -6.7744656) + (9.363288 - exp(v * 0.36534354))"
13,0.077240504,"(v * -0.6169402) + square(-2.5686564 - (sqrt(r * logMstel) * -0.40550068))"
14,0.074197695,"square(2.5778742 - (((square(v) * 0.1581854) + sqrt(r * logMstel)) * 0.45117658))"
16,0.0686996,"square(((sqrt(logMstel * r) + 2.1559618) * (-0.4273525 - square(v * 0.13948049))) + 3.4622853)"
18,0.067893565,"square((((v * 0.19201781) + sqrt(r * logMstel)) * (-0.4247736 - square(v * 0.14422634))) + 2.5674574)"
19,0.067062,"sqrt(r + square((sqrt((logMstel + v) * r) * -1.6058625) + (6.0770564 - square(v * 0.4516468))))"
