Complexity,Loss,Equation
1,2.785305,"3.8127906"
3,2.1704497,"4.210358 - r"
4,1.0554321,"square(2.348882 - r)"
5,0.8087575,"2.443661 / (r + 0.32282087)"
6,0.32185483,"(7.066362 / exp(r)) - v"
7,0.22195718,"(3.7722948 / (r + 0.452479)) - v"
8,0.21638975,"(5.2256184 / (exp(r) + -0.33701152)) - v"
9,0.20381936,"(5.025936 / (r + 0.5589867)) - sqrt(exp(v))"
10,0.20237534,"(4.973282 / (r + 0.55496836)) - exp(v * 0.4867477)"
12,0.19901739,"((3.8167853 / (r + 0.6630682)) - exp(v * 0.35995185)) * 1.6603879"
13,0.19091624,"(((0.04322125 / (0.53192943 - logMstel)) + 3.773113) / (r + 0.45149064)) - v"
14,0.18941316,"(4.912496 / (r + 0.54679763)) - (exp(0.48850337 * v) + (logMstel / logMvir))"
15,0.1820905,"(((0.05702155 / (0.53355354 - logMstel)) + 6.462903) / (r + 0.6730415)) - (v + 1.5290613)"
16,0.17063001,"(((0.05106076 / (0.5305258 - logMstel)) + 4.965186) / (r + 0.55335575)) - exp(v * 0.48472703)"
18,0.16411954,"((logMstel / (2.1932032 / (logMvir - 4.94592))) + (4.905674 / (r + 0.5459341))) - exp(v * 0.48843306)"
20,0.15368119,"(((logMstel / (exp(square(logMstel)) / (logMvir - 4.842433))) + 4.9802566) / (r + 0.5580464)) - exp(v * 0.48885766)"
